Reading training examples... 3695 examples, 1135424 tokens, 48 features, 48 classes... done
Iter 11788: *(NumConst=533, SV=497, CEps=0.6546, QPEps=0.2828)
Iter 11789: *(NumConst=531, SV=498, CEps=0.7033, QPEps=0.2842)
Iter 11790: *(NumConst=532, SV=496, CEps=0.7591, QPEps=0.2653)
Iter 11791: *(NumConst=532, SV=494, CEps=0.6338, QPEps=0.2921)
Iter 11792: *(NumConst=531, SV=494, CEps=0.7708, QPEps=0.2930)
Iter 11793: *(NumConst=530, SV=493, CEps=0.6904, QPEps=0.2877)
Iter 11794: *(NumConst=530, SV=494, CEps=0.6866, QPEps=0.2731)
Iter 11795: *(NumConst=531, SV=494, CEps=0.6162, QPEps=0.2903)
Iter 11796: *(NumConst=531, SV=494, CEps=0.7043, QPEps=0.2879)
Iter 11797: *(NumConst=531, SV=492, CEps=0.7151, QPEps=0.2840)
Iter 11798: *(NumConst=532, SV=492, CEps=0.6963, QPEps=0.2921)
Iter 11799: *(NumConst=532, SV=492, CEps=0.5354, QPEps=0.2653)
Iter 11800: *(NumConst=533, SV=492, CEps=0.5648, QPEps=0.2673)
Iter 11801: *(NumConst=534, SV=491, CEps=0.5332, QPEps=0.2590)
Iter 11802: *(NumConst=535, SV=490, CEps=0.5921, QPEps=0.2655)
Iter 11803: *(NumConst=535, SV=488, CEps=0.6602, QPEps=0.2500)
Iter 11804: *(NumConst=535, SV=488, CEps=0.6581, QPEps=0.2639)
Iter 11805: *(NumConst=535, SV=488, CEps=0.6464, QPEps=0.2609)
Iter 11806: *(NumConst=536, SV=487, CEps=0.5772, QPEps=0.2508)
Iter 11807: *(NumConst=537, SV=487, CEps=0.5517, QPEps=0.2586)
Iter 11808: *(NumConst=537, SV=488, CEps=0.6403, QPEps=0.2642)
Iter 11809: *(NumConst=537, SV=486, CEps=0.6147, QPEps=0.2621)
Iter 11810: *(NumConst=538, SV=486, CEps=0.5311, QPEps=0.2627)
Iter 11811: .........*(NumConst=538, SV=487, CEps=1.5483, QPEps=0.5525)
Iter 11812: *(NumConst=539, SV=489, CEps=1.0820, QPEps=0.5278)
Iter 11813: *(NumConst=539, SV=490, CEps=0.9416, QPEps=0.3943)
Iter 11814: *(NumConst=540, SV=490, CEps=0.7453, QPEps=0.3642)
Iter 11815: *(NumConst=541, SV=490, CEps=0.8824, QPEps=0.3723)
Iter 11816: *(NumConst=542, SV=493, CEps=0.7976, QPEps=0.3701)
Iter 11817: *(NumConst=542, SV=493, CEps=0.8324, QPEps=0.3654)
Iter 11818: *(NumConst=542, SV=494, CEps=0.7741, QPEps=0.3676)
Iter 11819: *(NumConst=543, SV=493, CEps=0.7613, QPEps=0.3425)
Iter 11820: *(NumConst=544, SV=494, CEps=0.7929, QPEps=0.3696)
Iter 11821: *(NumConst=544, SV=494, CEps=0.8069, QPEps=0.3644)
Iter 11822: *(NumConst=545, SV=494, CEps=0.7144, QPEps=0.3509)
Iter 11823: *(NumConst=545, SV=495, CEps=0.9038, QPEps=0.3265)
Iter 11824: *(NumConst=546, SV=496, CEps=0.6593, QPEps=0.3153)
Iter 11825: *(NumConst=546, SV=494, CEps=0.7967, QPEps=0.3281)
Iter 11826: *(NumConst=545, SV=496, CEps=0.7862, QPEps=0.3266)
Iter 11827: *(NumConst=544, SV=496, CEps=0.8039, QPEps=0.3123)
Iter 11828: *(NumConst=545, SV=495, CEps=0.7270, QPEps=0.2824)
Iter 11829: *(NumConst=544, SV=494, CEps=0.6700, QPEps=0.3295)
Iter 11830: *(NumConst=545, SV=495, CEps=0.7374, QPEps=0.2945)
Iter 11831: *(NumConst=546, SV=497, CEps=0.7294, QPEps=0.3243)
Iter 11832: *(NumConst=547, SV=496, CEps=0.7059, QPEps=0.3068)
Iter 11833: *(NumConst=547, SV=492, CEps=0.6267, QPEps=0.3131)
Iter 11834: *(NumConst=548, SV=493, CEps=0.7494, QPEps=0.2932)
Iter 11835: *(NumConst=548, SV=492, CEps=0.7684, QPEps=0.3038)
Iter 11836: *(NumConst=549, SV=493, CEps=0.6823, QPEps=0.3093)
Iter 11837: *(NumConst=548, SV=492, CEps=0.6455, QPEps=0.3122)
Iter 11838: *(NumConst=548, SV=491, CEps=0.6256, QPEps=0.3116)
Iter 11839: *(NumConst=545, SV=488, CEps=0.6385, QPEps=0.2941)
Iter 11840: *(NumConst=545, SV=489, CEps=0.6694, QPEps=0.3089)
Iter 11841: *(NumConst=545, SV=490, CEps=0.6504, QPEps=0.2941)
Iter 11842: *(NumConst=545, SV=489, CEps=0.7013, QPEps=0.2817)
Iter 11843: *(NumConst=545, SV=488, CEps=0.5927, QPEps=0.2464)
Iter 11844: *(NumConst=545, SV=485, CEps=0.6666, QPEps=0.2626)
Iter 11845: *(NumConst=545, SV=485, CEps=0.7343, QPEps=0.2766)
Iter 11846: *(NumConst=543, SV=483, CEps=0.5346, QPEps=0.2397)
